id_annonce,type_surface,disponibilite,ville,quartier,departement,region,typologie,residence,surface_m2,salles_de_bain,balcons,dpe,prix_eur,prix_m2_eur
V10227,Surface au sol,nov-2028,Argenteuil,Coteaux,95,Ile-de-France,Maison 4 pieces,Le Domaine Concorde,80.4,3.0,2.0,A,311000.0,3868.0
V12063,Surface Carrez,Libre immediatement,Trappes,Sand-Pergaud-Verlaine,78,Ile-de-France,T3,,87.7,2.0,2.0,D,211000.0,2406.0
V08339,Surface au sol,Libre immediatement,Argenteuil,Coteaux,95,Ile-de-France,Maison 4 pieces,Villa Opale,97.7,1.0,0.0,A,304000.0,3112.0
V02944,Surface habitable,Libre immediatement,Paris,La Muette,75,Ile-de-France,T5,,97.4,2.0,1.0,E,1039000.0,10667.0
V12393,Surface Carrez,mai-2026,Meaux,Hopital,77,Ile-de-France,Maison 4 pieces,Les Terrasses des Acacias,96 - 107,3.0,1.0,A,213000.0,
V13552,Surface Carrez,juil-2027,Paris,Gobelins,75,Ile-de-France,T2,Residence Beausejour,40,1.0,0.0,B,492000.0,12300.0
V09453,Surface habitable,Libre immediatement,Vincennes,Bois de Vincennes,94,Ile-de-France,T4,Les Allees Montaigne,64.2,2.0,3.0,C,429000.0,6682.0
V13157,Surface Carrez,nov-2028,Paris,Buttes-Chaumont,75,Ile-de-France,T3,Villa Cristal,64.3,1.0,2.0,A,740000.0,11509.0
V08066,Surface utile,mars-2026,Creteil,Lac,94,Ile-de-France,T4,Les Terrasses Montaigne,63.3,3.0,0.0,B,331000.0,5229.0
V01506,Surface utile,Libre immediatement,Vitry-sur-Seine,Moulin-Vert,94,Ile-de-France,T3,Le Parc du Parc,82.1,2.0,0.0,E,252000.0,3069.0
V00642,Surface habitable,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T4,,69.1,3.0,1.0,C,956000.0,13835.0
V04625,Surface Carrez,Libre immediatement,Montreuil,Ruffins,93,Ile-de-France,Maison 5 pieces,Cour Voltaire,129.8,4.0,1.0,D,402000.0,3097.0
V00663,Surface Carrez,Libre immediatement,Melun,Saint-Aspais,77,Ile-de-France,T4,,101.8,1.0,1.0,C,261000.0,2564.0
V06985,Surface habitable,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T3,Le Parc du Parc,85.4,2.0,0.0,D,1301000.0,15234.0
V04102,Surface habitable,Libre immediatement,Aubervilliers,Fort d'Aubervilliers,93,Ile-de-France,T3,,65.2,2.0,0.0,G,171000.0,2623.0
V12022,Surface habitable,Libre immediatement,Creteil,Mont-Mesly,94,Ile-de-France,T5,Esprit Horizon,149.5,3.0,3.0,E,470000.0,3144.0
V09823,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T3,,71.4,2.0,1.0,F,1044000.0,14622.0
V13347,Surface utile,Libre immediatement,Mantes-la-Jolie,Gassicourt,78,Ile-de-France,T3,,69.9,2.0,0.0,E,176000.0,2518.0
V11101,Surface Carrez,mai-2026,Saint-Germain-en-Laye,Bel-Air,78,Ile-de-France,T3,Le Domaine Bellevue,72.3,,0.0,A,515000.0,7123.0
V10706,Surface habitable,Libre immediatement,Aubervilliers,Villette-Quatre-Chemins,93,Ile-de-France,T3,Residence des Acacias,67,2.0,1.0,D,191000.0,2851.0
V05002,Surface Carrez,Libre immediatement,Saint-Denis,La Plaine,93,Ile-de-France,T1,,21.4,1.0,1.0,B,64000.0,2991.0
V13199,Surface habitable,Libre immediatement,Montreuil,Ruffins,93,Ile-de-France,T4,Les Jardins des Acacias,95.1,3.0,3.0,A,455000.0,4784.0
V03816,Surface Carrez,Libre immediatement,Vincennes,Centre-Ville,94,Ile-de-France,T3,,51.8,2.0,0.0,D,330000.0,6371.0
V08839,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T3,,47.5,1.0,1.0,D,522000.0,10989.0
V13452,Surface Carrez,fevr-2027,Paris,La Muette,75,Ile-de-France,T2,Cour Bellevue,39.7,1.0,1.0,B,611000.0,15390.0
V00542,Surface Carrez,nov-2028,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T2,Les Allees des Lilas,40.6,1.0,0.0,C,592000.0,14581.0
V08470,Surface utile,Libre immediatement,Paris,La Muette,75,Ile-de-France,T2,,41.5,1.0,0.0,D,465000.0,11205.0
V14403,Surface Carrez,Libre immediatement,Paris,Bercy,75,Ile-de-France,T3,Les Jardins des Acacias,44.1,2.0,2.0,C,399000.0,9048.0
V04936,Surface Carrez,Libre immediatement,Aubervilliers,Villette-Quatre-Chemins,93,Ile-de-France,T3,,58.8,1.0,0.0,E,255000.0,4337.0
V04788,Surface au sol,janv-2028,Ivry-sur-Seine,Monmousseau,94,Ile-de-France,Maison 4 pieces,Le Parc Opale,96.6,3.0,0.0,C,430000.0,4451.0
V04535,Surface Carrez,oct-2026,Mantes-la-Jolie,Val Fourre,78,Ile-de-France,T5,Carre Horizon,167.1,3.0,0.0,A,378000.0,2262.0
V12886,Surface habitable,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T3,Cour des Lilas,69.3,2.0,0.0,E,774000.0,11169.0
V11462,Surface Carrez,juin-2026,Cergy,Cergy-Saint-Christophe,95,Ile-de-France,T4,Les Terrasses d'Argent,89.2,2.0,0.0,B,255000.0,2859.0
V13773,Surface Carrez,juin-2029,Meaux,Hopital,77,Ile-de-France,T2,Le Domaine Voltaire,34.8,1.0,0.0,A,86000.0,2471.0
V14965,Surface Carrez,Libre immediatement,Nanterre,Parc Sud,92,Ile-de-France,T3,Villa Latitude,65.6,2.0,0.0,E,257000.0,3918.0
V05322,Surface habitable,Libre immediatement,Meaux,Centre-Ville,77,Ile-de-France,T1,,29.5,1.0,1.0,B,79000.0,2678.0
V05096,Surface habitable,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T2,Le Domaine des Acacias,53.6,1.0,1.0,D,735000.0,13713.0
V06166,Surface utile,Libre immediatement,Montrouge,Portes de Montrouge,92,Ile-de-France,T4,,93.4,2.0,0.0,C,502000.0,5375.0
V02388,Surface Carrez,Libre immediatement,Trappes,Plaine de Neauphle,78,Ile-de-France,T4,Le Clos Opale,91,3.0,1.0,C,244000.0,2681.0
V02620,Surface Carrez,Libre immediatement,Antony,Centre-Ville,92,Ile-de-France,T2,Le Domaine d'Argent,47.7,1.0,0.0,E,224000.0,4696.0
V08659,Surface Carrez,Libre immediatement,Saint-Denis,Grand Centre,93,Ile-de-France,T3,Villa des Acacias,74.5,2.0,2.0,D,205000.0,2752.0
V01325,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T2,Les Jardins Symphonie,47.1,1.0,1.0,E,548000.0,11635.0
V10485,Surface habitable,fevr-2028,Versailles,Montreuil,78,Ile-de-France,T3,Cour Saint-Martin,56.8,1.0,0.0,A,413000.0,7271.0
V05607,Surface Carrez,Libre immediatement,Versailles,Notre-Dame,78,Ile-de-France,T1,,27.4,1.0,0.0,C,194000.0,7080.0
V06764,Surface habitable,Libre immediatement,Paris,Belleville,75,Ile-de-France,T5,Le Domaine des Chenes,114.5,3.0,2.0,D,664000.0,5799.0
V10679,Surface Carrez,fevr-2028,Vitry-sur-Seine,Ardoines,94,Ile-de-France,T1,Les Terrasses des Acacias,21.4,1.0,0.0,A,106000.0,4953.0
V13771,Surface Carrez,Libre immediatement,Saint-Denis,Franc-Moisin,93,Ile-de-France,T3,Les Allees Riviera,61.4,2.0,2.0,C,137000.0,2231.0
V13345,Surface Carrez,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T3,,55.4,1.0,2.0,C,499000.0,9007.0
V10633,Surface utile,Libre immediatement,Trappes,Village,78,Ile-de-France,T4,,78.8,2.0,2.0,D,166000.0,2107.0
V09059,Surface utile,Libre immediatement,Trappes,Les Merisiers,78,Ile-de-France,T2,Esprit Bellevue,43.1,1.0,,G,76000.0,1763.0
V00695,Surface habitable,Libre immediatement,Creteil,Echat,94,Ile-de-France,T5,Carre d'Argent,107.7,3.0,0.0,E,397000.0,3686.0
V09288,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T4,Esprit Cristal,73.3,3.0,0.0,G,638000.0,8704.0
V00613,Surface utile,fevr-2027,Ivry-sur-Seine,Monmousseau,94,Ile-de-France,T1,Le Domaine Riviera,23.2,1.0,1.0,C,101000.0,4353.0
V09646,Surface habitable,Libre immediatement,Nanterre,Universite,92,Ile-de-France,T3,Les Terrasses Cristal,50.5,1.0,1.0,C,225000.0,4455.0
V06817,Surface utile,Libre immediatement,Montrouge,Portes de Montrouge,92,Ile-de-France,T3,,87.8,2.0,0.0,E,578000.0,6583.0
V12524,Surface habitable,juil-2026,Paris,La Muette,75,Ile-de-France,T5,Les Allees Bellevue,102.1,1.0,,C,1494000.0,14633.0
V00637,Surface Carrez,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T3,Villa Belvedere,65.3,2.0,,B,739000.0,11317.0
V13660,Surface Carrez,Libre immediatement,Aubervilliers,Centre,93,Ile-de-France,T1,Carre Symphonie,19.8,1.0,0.0,B,76000.0,3838.0
V13591,Surface utile,Libre immediatement,Noisy-le-Grand,Mont d'Est,93,Ile-de-France,Maison 5 pieces,,111.3,4.0,,E,297000.0,2668.0
V10117,Surface Carrez,Libre immediatement,Boulogne-Billancourt,Point du Jour,92,Ile-de-France,T4,Villa d'Argent,112.1,3.0,1.0,C,901000.0,8037.0
V06131,Surface au sol,Libre immediatement,Noisy-le-Grand,Champy,93,Ile-de-France,Maison 4 pieces,Residence d'Argent,107,3.0,1.0,A,333000.0,3112.0
V01808,Surface Carrez,Libre immediatement,Mantes-la-Jolie,Val Fourre,78,Ile-de-France,Maison 4 pieces,Villa Voltaire,89.7,3.0,0.0,F,146000.0,1628.0
V11750,Surface habitable,Libre immediatement,Aubervilliers,Landy,93,Ile-de-France,T2,,43.8,1.0,1.0,B,146000.0,3333.0
V11197,Surface Carrez,mai-2027,Nanterre,Universite,92,Ile-de-France,T4,Villa Latitude,111.5,1.0,0.0,A,615000.0,5516.0
V09396,Surface Carrez,aout-2027,Argenteuil,Val d'Argent,95,Ile-de-France,T3,Residence d'Argent,47.6,1.0,,A,142000.0,2983.0
V03993,Surface habitable,juil-2028,Paris,La Muette,75,Ile-de-France,T4,Cour Saint-Martin,116.6,1.0,0.0,A,1713000.0,14691.0
V10168,Surface habitable,Libre immediatement,Ivry-sur-Seine,Petit-Ivry,94,Ile-de-France,T3,,73.7,1.0,1.0,E,273000.0,3704.0
V01198,Surface Carrez,oct-2027,Paris,La Muette,75,Ile-de-France,T1,Les Terrasses Montaigne,21.6,1.0,1.0,C,248000.0,11481.0
V06155,Surface utile,Libre immediatement,Neuilly-sur-Seine,Bagatelle,92,Ile-de-France,T4,Les Allees Cristal,95.1,3.0,0.0,A,1177000.0,12376.0
V12203,Surface habitable,Libre immediatement,Bobigny,Pont de Bondy,93,Ile-de-France,T2,,44.9,,0.0,E,118000.0,2628.0
V12697,Surface habitable,Libre immediatement,Evry-Courcouronnes,Le Canal,91,Ile-de-France,T3,Villa d'Argent,88.1,2.0,0.0,E,193000.0,2191.0
V04406,Surface utile,Libre immediatement,Antony,Les Baconnets,92,Ile-de-France,T4,Le Parc des Lilas,79.6,2.0,1.0,F,328000.0,4121.0
V13998,Surface utile,Libre immediatement,Bobigny,Centre-ville,93,Ile-de-France,T4,Le Hameau des Lilas,101.1,3.0,3.0,E,381000.0,3769.0
V00706,Surface habitable,janv-2028,Paris,Batignolles,75,Ile-de-France,T1,Residence Verte,27.2,1.0,1.0,A,318000.0,11691.0
V13663,Surface habitable,Libre immediatement,Boulogne-Billancourt,Rives de Seine,92,Ile-de-France,T1,Villa des Lilas,25.6,1.0,0.0,C,268000.0,10469.0
V12778,Surface habitable,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T4,,83.4,2.0,0.0,C,1098000.0,13165.0
V07473,Surface Carrez,janv-2027,Paris,La Muette,75,Ile-de-France,T1,Residence Montaigne,32.2,1.0,0.0,C,419000.0,13012.0
V02670,Surface Carrez,Libre immediatement,Paris,Porte de Clignancourt,75,Ile-de-France,T5,,118.1,3.0,1.0,C,817000.0,6918.0
V09417,Surface Carrez,Libre immediatement,Paris,Bercy,75,Ile-de-France,T3,Les Jardins du Parc,78.1,1.0,0.0,E,797000.0,10205.0
V10441,Surface Carrez,nov-2027,Paris,Porte de Clignancourt,75,Ile-de-France,T3,Le Parc des Chenes,65.8,1.0,1.0,C,578000.0,8784.0
V11344,Surface Carrez,Libre immediatement,Creteil,Echat,94,Ile-de-France,T2,Le Hameau Cristal,59,1.0,1.0,D,216000.0,3661.0
V03924,Surface Carrez,Libre immediatement,Nanterre,Petit-Nanterre,92,Ile-de-France,T2,,40.3,1.0,0.0,E,202000.0,5012.0
V14719,Surface Carrez,Libre immediatement,Paris,Porte de Clignancourt,75,Ile-de-France,T6,Les Terrasses Verte,111,2.0,1.0,C,626000.0,5640.0
V06014,Surface Carrez,dec-2027,Argenteuil,Coteaux,95,Ile-de-France,T4,Le Domaine des Lilas,105.6,2.0,2.0,A,414000.0,3920.0
V12013,Surface Carrez,nov-2026,Saint-Denis,Grand Centre,93,Ile-de-France,Maison 3 pieces,Villa des Acacias,68.2,2.0,1.0,B,190000.0,2786.0
V02538,Surface Carrez,Libre immediatement,Evry-Courcouronnes,Centre-Ville,91,Ile-de-France,T3,Esprit Opale,59.4,1.0,2.0,E,128000.0,2155.0
V05281,Surface habitable,Libre immediatement,Vincennes,Bois de Vincennes,94,Ile-de-France,T5,,76.6,3.0,2.0,E,552000.0,7206.0
V03891,Surface Carrez,Libre immediatement,Boulogne-Billancourt,Rives de Seine,92,Ile-de-France,,,72,2.0,0.0,C,551000.0,7653.0
V13087,Surface Carrez,avr-2028,Evry-Courcouronnes,Les Pyramides,91,Ile-de-France,T2,Les Jardins du Lac,38,1.0,2.0,B,99000.0,2605.0
V11574,Surface utile,Libre immediatement,Nanterre,Centre,92,Ile-de-France,T5,Le Clos des Chenes,89,3.0,0.0,E,453000.0,5090.0
V12295,Surface Carrez,Libre immediatement,Paris,Montmartre,75,Ile-de-France,T3,,48.3,2.0,1.0,E,442000.0,9151.0
V11556,Surface utile,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T1,Le Domaine des Lilas,21,1.0,1.0,E,162000.0,7714.0
V13390,Surface Carrez,dec-2027,Paris,La Muette,75,Ile-de-France,T1,Les Allees du Lac,24.6,1.0,1.0,A,334000.0,13577.0
V07583,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T3,,65.8,2.0,1.0,C,588000.0,8936.0
V13285,Surface Carrez,Libre immediatement,Versailles,Saint-Louis,78,Ile-de-France,T4,Les Terrasses Belvedere,111.2,1.0,0.0,D,574000.0,5162.0
V13830,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T3,Les Terrasses Opale,53,2.0,0.0,D,487000.0,9189.0
V14271,Surface Carrez,janv-2027,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T3,Villa des Lilas,65.1,1.0,0.0,B,1074000.0,16498.0
V10944,Surface habitable,Libre immediatement,Paris,La Muette,75,Ile-de-France,T5,Les Jardins des Chenes,76.1,3.0,2.0,D,1047000.0,13758.0
V05042,Surface Carrez,nov-2027,Montreuil,Ruffins,93,Ile-de-France,T3,Les Terrasses du Lac,65.9,2.0,0.0,A,335000.0,5083.0
V03738,Surface Carrez,Libre immediatement,Montrouge,Centre,92,Ile-de-France,T5,,102.4,3.0,2.0,B,847000.0,8271.0
V07998,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Corentin Celton,92,Ile-de-France,T4,Le Hameau Symphonie,91.7,2.0,0.0,D,586000.0,6390.0
V10295,Surface habitable,Libre immediatement,Creteil,Centre Ancien,94,Ile-de-France,T3,,80.9,2.0,0.0,F,253000.0,3127.0
V12511,Surface Carrez,Libre immediatement,Creteil,Mont-Mesly,94,Ile-de-France,T2,Le Clos des Lilas,39.5,1.0,0.0,F,101000.0,2557.0
V07212,Surface habitable,dec-2028,Paris,Champ-de-Mars,75,Ile-de-France,T1,Les Allees Concorde,19.3,1.0,1.0,B,332000.0,17202.0
V03674,Surface Carrez,Libre immediatement,Saint-Denis,Pleyel,93,Ile-de-France,T3,Les Allees Beausejour,52.6,1.0,1.0,E,173000.0,3289.0
V07806,Surface Carrez,Libre immediatement,Nanterre,Universite,92,Ile-de-France,T2,,55.8,1.0,1.0,C,286000.0,5125.0
V06915,Surface Carrez,Libre immediatement,Creteil,Centre Ancien,94,Ile-de-France,T5,Les Terrasses Belvedere,124.5,3.0,1.0,B,644000.0,5173.0
V13520,Surface utile,Libre immediatement,Boulogne-Billancourt,Parchamp,92,Ile-de-France,T3,,71.1,2.0,1.0,D,731000.0,10281.0
V03481,Surface utile,Libre immediatement,Saint-Denis,Franc-Moisin,93,Ile-de-France,Maison 4 pieces,Le Clos Voltaire,101.4,3.0,1.0,E,228000.0,2249.0
V14418,Surface Carrez,Libre immediatement,Saint-Denis,Franc-Moisin,93,Ile-de-France,Maison 5 pieces,Les Jardins Belvedere,140,4.0,0.0,B,341000.0,2436.0
V00007,Surface Carrez,Libre immediatement,Mantes-la-Jolie,Val Fourre,78,Ile-de-France,T2,Le Domaine Saint-Martin,45.5,1.0,0.0,D,77000.0,1692.0
V00496,Surface Carrez,Libre immediatement,Antony,Centre-Ville,92,Ile-de-France,T3,,76.3,2.0,2.0,C,407000.0,5334.0
V02682,Surface Carrez,aout-2026,Versailles,Porchefontaine,78,Ile-de-France,T1,Residence Saint-Martin,21.7,1.0,0.0,B,178000.0,8203.0
V10735,Surface Carrez,Libre immediatement,Noisy-le-Grand,Mont d'Est,93,Ile-de-France,T3,Esprit du Lac,82.7,2.0,2.0,A,330000.0,3990.0
V02889,Surface habitable,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T4,Les Jardins Bellevue,93,1.0,1.0,C,1052000.0,11312.0
V06964,Surface Carrez,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T3,Esprit Montaigne,67,2.0,1.0,B,442000.0,6597.0
V07540,Surface Carrez,avr-2026,Versailles,Chantiers,78,Ile-de-France,T3,Le Hameau des Chenes,58,1.0,2.0,A,344000.0,5931.0
V10664,Surface habitable,Libre immediatement,Ivry-sur-Seine,Monmousseau,94,Ile-de-France,Maison 4 pieces,Carre du Parc,116.9,2.0,0.0,C,443000.0,3790.0
V10270,Surface Carrez,juin-2026,Trappes,Sand-Pergaud-Verlaine,78,Ile-de-France,T2,Le Clos Beausejour,46.6,1.0,1.0,B,127000.0,2725.0
V09815,Surface Carrez,Libre immediatement,Montrouge,Ferry-Jaures,92,Ile-de-France,T5,,110.3,2.0,1.0,E,723000.0,6555.0
V03600,Surface au sol,dec-2026,Evry-Courcouronnes,Centre-Ville,91,Ile-de-France,Maison 5 pieces,Cour Beausejour,103.6,4.0,0.0,A,395000.0,3813.0
V09496,Surface Carrez,Libre immediatement,Massy,Opera,91,Ile-de-France,T5,Esprit Horizon,125.4,3.0,1.0,C,392000.0,3126.0
V09063,Surface au sol,Libre immediatement,Vitry-sur-Seine,Ardoines,94,Ile-de-France,Maison 4 pieces,Cour Voltaire,110.9,3.0,0.0,D,281000.0,2534.0
V08374,Surface Carrez,juil-2028,Aubervilliers,Villette-Quatre-Chemins,93,Ile-de-France,T3,Les Terrasses du Parc,59,2.0,0.0,C,164000.0,2780.0
V11373,Surface Carrez,dec-2028,Saint-Denis,Franc-Moisin,93,Ile-de-France,T4,Le Hameau Saint-Martin,72,2.0,0.0,C,226000.0,3139.0
V00142,Surface Carrez,Libre immediatement,Aubervilliers,Centre,93,Ile-de-France,T3,Villa Horizon,60.3,2.0,1.0,C,239000.0,3964.0
V07649,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T5,Cour Montaigne,114.4,3.0,0.0,B,1094000.0,9563.0
V06209,Surface Carrez,mars-2026,Vitry-sur-Seine,Ardoines,94,Ile-de-France,T4,Le Parc Belvedere,74.4,1.0,0.0,C,360000.0,4839.0
V00819,Surface Carrez,Libre immediatement,Massy,Atlantis,91,Ile-de-France,T2,,44,1.0,1.0,E,122000.0,2773.0
V14844,Surface Carrez,Libre immediatement,Paris,Champ-de-Mars,75,Ile-de-France,T6,,96.5,3.0,0.0,E,927000.0,9606.0
V02320,Surface Carrez,Libre immediatement,Montreuil,Croix de Chavaux,93,Ile-de-France,T3,Residence Belvedere,52.5,2.0,0.0,C,259000.0,4933.0
V02133,Surface habitable,janv-2028,Noisy-le-Grand,Centre-ville,93,Ile-de-France,T6,Esprit Saint-Martin,162.3,2.0,2.0,A,799000.0,4923.0
V02556,Surface Carrez,Libre immediatement,Versailles,Notre-Dame,78,Ile-de-France,T3,Carre Saint-Martin,66.2,2.0,0.0,C,408000.0,6163.0
V12000,Surface Carrez,Libre immediatement,Paris,Vaugirard,75,Ile-de-France,T3,,52.2,1.0,0.0,D,482000.0,9234.0
V13948,Surface Carrez,juin-2028,Paris,Belleville,75,Ile-de-France,T4,Esprit Voltaire,88,1.0,0.0,A,943000.0,10716.0
V12546,Surface Carrez,Libre immediatement,Montreuil,Ruffins,93,Ile-de-France,T3,,86.5,2.0,0.0,D,313000.0,3618.0
V03634,Surface Carrez,juil-2026,Meaux,Colbert,77,Ile-de-France,T3,Residence d'Argent,61,1.0,0.0,C,169000.0,2770.0
V06001,Surface Carrez,juin-2027,Paris,Bercy,75,Ile-de-France,T3,Les Jardins Symphonie,56.8,2.0,1.0,A,720000.0,12676.0
V14902,Surface habitable,Libre immediatement,Vitry-sur-Seine,Centre-Ville,94,Ile-de-France,T3,Le Domaine Opale,69.3,2.0,0.0,D,291000.0,4199.0
V07900,Surface Carrez,Libre immediatement,Paris,Porte de Clignancourt,75,Ile-de-France,T3,,67.6,2.0,1.0,B,486000.0,7189.0
V13619,Surface Carrez,avr-2026,Saint-Denis,Basilique,93,Ile-de-France,T2,Carre Montaigne,31 - 38,1.0,0.0,B,118000.0,
V10211,Surface Carrez,Libre immediatement,Evry-Courcouronnes,Le Canal,91,Ile-de-France,T2,,46.6,1.0,0.0,F,105000.0,2253.0
V02458,Surface au sol,Libre immediatement,Cergy,Cergy-le-Haut,95,Ile-de-France,Maison 4 pieces,Les Allees des Lilas,84.6,2.0,1.0,G,142000.0,1678.0
V09770,Surface au sol,Libre immediatement,Vitry-sur-Seine,Ardoines,94,Ile-de-France,Maison 5 pieces,Cour Montaigne,92.5,3.0,1.0,D,259000.0,2800.0
V07053,Surface Carrez,Libre immediatement,Paris,Porte de Clignancourt,75,Ile-de-France,T2,Esprit Riviera,51.8,1.0,1.0,C,312000.0,6023.0
V00296,Surface habitable,Libre immediatement,Creteil,Centre Ancien,94,Ile-de-France,T3,,81.9,2.0,0.0,C,282000.0,3443.0
V05282,Surface Carrez,Libre immediatement,Versailles,Montreuil,78,Ile-de-France,T3,Le Domaine Bellevue,57.8,2.0,,C,328000.0,5675.0
V12361,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T2,,35.5,1.0,2.0,D,352000.0,9915.0
V02814,Surface Carrez,avr-2028,Paris,Batignolles,75,Ile-de-France,T3,Les Jardins Saint-Martin,63.8,1.0,2.0,B,760000.0,11912.0
V06555,Surface habitable,juil-2026,Paris,Buttes-Chaumont,75,Ile-de-France,T3,Esprit Horizon,52.1,2.0,1.0,B,417000.0,8004.0
V04258,Surface utile,Libre immediatement,Meaux,Colbert,77,Ile-de-France,T1,Villa Symphonie,33.1,1.0,1.0,D,68000.0,2054.0
V05335,Surface habitable,Libre immediatement,Trappes,Les Merisiers,78,Ile-de-France,T3,Cour Symphonie,64.1,2.0,0.0,E,157000.0,2449.0
V13475,Surface Carrez,Libre immediatement,Paris,Bercy,75,Ile-de-France,T3,Cour Latitude,74.9,1.0,0.0,D,738000.0,9853.0
V12593,Surface Carrez,Libre immediatement,Trappes,Les Merisiers,78,Ile-de-France,T2,Cour d'Argent,45.4,1.0,0.0,E,114000.0,2511.0
V06515,Surface habitable,Libre immediatement,Vitry-sur-Seine,Port-a-l'Anglais,94,Ile-de-France,Maison 4 pieces,,101,1.0,1.0,D,366000.0,3624.0
V05473,Surface au sol,Libre immediatement,Trappes,Sand-Pergaud-Verlaine,78,Ile-de-France,Maison 5 pieces,,103.9,4.0,0.0,C,234000.0,2252.0
V03737,Surface habitable,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T3,Le Hameau Verte,69.3,2.0,2.0,E,572000.0,8254.0
V01432,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Corentin Celton,92,Ile-de-France,T2,Les Jardins Riviera,37.9,1.0,1.0,F,229000.0,6042.0
V13183,Surface Carrez,Libre immediatement,Trappes,Plaine de Neauphle,78,Ile-de-France,T3,,66.1,2.0,2.0,C,163000.0,2466.0
V00205,Surface Carrez,Libre immediatement,Paris,Porte de Clignancourt,75,Ile-de-France,T2,Le Parc Cristal,42.3,1.0,2.0,E,279000.0,6596.0
V03277,Surface utile,Libre immediatement,Cergy,Cergy-Saint-Christophe,95,Ile-de-France,Maison 4 pieces,Esprit Cristal,92.2,3.0,0.0,D,222000.0,2408.0
V13018,Surface Carrez,Libre immediatement,Meaux,Beauval,77,Ile-de-France,T4,Carre Horizon,120.9,2.0,1.0,E,212000.0,1754.0
V00857,Surface habitable,sept-2028,Boulogne-Billancourt,Rives de Seine,92,Ile-de-France,T3,Villa des Acacias,66.1,2.0,1.0,A,663000.0,10030.0
V10361,Surface Carrez,Libre immediatement,Argenteuil,Coteaux,95,Ile-de-France,Maison 5 pieces,,110.9,1.0,1.0,,286000.0,2579.0
V11919,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Val de Seine,92,Ile-de-France,T3,,65,2.0,0.0,A,534000.0,8215.0
V11434,Surface Carrez,avr-2027,Vincennes,Domaine du Bois,94,Ile-de-France,T4,Le Hameau des Lilas,76.3,2.0,1.0,C,656000.0,8598.0
V07505,Surface Carrez,Libre immediatement,Paris,Vaugirard,75,Ile-de-France,T2,Le Hameau Voltaire,43.4,1.0,0.0,D,353000.0,8134.0
V14286,Surface Carrez,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T3,,87.1,2.0,1.0,D,683000.0,7842.0
V03038,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T2,Le Domaine d'Argent,33.4,1.0,1.0,D,351000.0,10509.0
V07692,Surface habitable,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T4,,108.2,3.0,0.0,D,916000.0,8466.0
V02610,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T3,,59.3,1.0,2.0,F,756000.0,12749.0
V01683,Surface Carrez,Libre immediatement,Aubervilliers,Centre,93,Ile-de-France,T1,Villa des Lilas,20.1,1.0,1.0,A,87000.0,4328.0
V12497,Surface Carrez,Libre immediatement,Creteil,Echat,94,Ile-de-France,T2,Les Allees Saint-Martin,42.9,1.0,2.0,E,170000.0,3963.0
V08996,Surface utile,Libre immediatement,Paris,Buttes-Chaumont,75,Ile-de-France,T3,,44.4,2.0,1.0,E,403000.0,9077.0
V00137,Surface habitable,Libre immediatement,Issy-les-Moulineaux,Corentin Celton,92,Ile-de-France,T4,Les Allees Horizon,100.6,1.0,2.0,D,771000.0,7664.0
V03690,Surface Carrez,Libre immediatement,Issy-les-Moulineaux,Fort d'Issy,92,Ile-de-France,T3,Le Parc Horizon,70.3,2.0,1.0,B,630000.0,8962.0
V03874,Surface Carrez,Libre immediatement,Paris,Saint-Germain-des-Pres,75,Ile-de-France,T2,Cour du Lac,43.9,1.0,2.0,D,581000.0,13235.0
